id,name,street_address,town,postcode,join_date,status,acquisition_source,churn_date
18069,Michael Brown,126 Broadway,Newport,PO30 7CN,2024-10-11,Churned,Organic,2025-04-02
18070,John Smith,5 Church Rd,Ryde,PO33 9OD,2024-08-11,Active,Local Fair,
18071,Mary Brown,77 Arctic Rd,Ryde,PO33 1WS,2025-03-06,Active,Billboards,
18072,Michael Johnson,133 Park Rd,Ryde,PO33 9KG,2025-08-19,Active,Organic,
18073,Jennifer Wright,119 Broadway,Newport,PO30 7FV,2024-12-26,Active,Organic,
18074,Linda Smith,75 Main Rd,Cowes,PO31 4RF,2024-10-27,Active,Organic,
18075,Patricia Wilson,42 Church Rd,Ryde,PO33 1VF,2024-09-14,Active,Organic,
18076,Michael Brown,79 Mill Hill Rd,Shanklin,PO37 4SA,2024-03-13,Active,Local Fair,
18077,Robert Jones,23 Church Rd,East Cowes,PO32 5XX,2026-04-13,Active,Organic,
18078,James Wright,34 Arctic Rd,Newport,PO30 6KX,2025-04-19,Active,Organic,
18079,Linda Jones,18 Queens Rd,Sandown,PO36 5DI,2025-01-22,Active,Organic,
18080,Mary Wilson,89 High St,Newport,PO30 3JR,2023-01-07,Active,Organic,
18081,Robert Davies,23 London Rd,Newport,PO30 4RA,2024-07-12,Active,Organic,
18082,Elizabeth Jones,72 Victoria Ave,Newport,PO30 9QG,2025-01-17,Active,Google Search,
18083,Patricia Brown,21 Victoria Ave,Newport,PO30 3VI,2024-01-07,Active,Organic,
18084,Jennifer Wright,40 Victoria Ave,Newport,PO30 8VY,2026-02-12,Active,Door-to-Door,
18085,Elizabeth Williams,97 Park Rd,Cowes,PO31 8YA,2026-02-17,Active,Organic,
18086,Mary Jones,27 Station Rd,Ryde,PO33 5XP,2023-04-08,Active,Organic,
18087,Mary Taylor,126 Station Rd,Bembridge,PO35 2JT,2025-06-25,Active,Organic,
18088,Jennifer Wright,31 High St,Ryde,PO33 6TE,2024-04-10,Active,Organic,
18089,James Robinson,146 Park Rd,Newport,PO30 5LE,2023-08-10,Active,Organic,
18090,Elizabeth Wright,67 Station Rd,Sandown,PO36 9IU,2025-07-06,Active,Door-to-Door,
18091,Elizabeth Taylor,31 Arctic Rd,Shanklin,PO37 7OJ,2024-05-17,Active,Organic,
18092,Linda Wright,15 High St,Ryde,PO33 2JS,2024-04-05,Active,Organic,
18093,William Robinson,129 Victoria Ave,Freshwater,PO40 6WD,2023-03-23,Active,Sponsorship,
18094,William Taylor,38 Victoria Ave,Cowes,PO31 4AI,2025-08-12,Active,Organic,
18095,Patricia Johnson,116 Victoria Ave,Sandown,PO36 1VS,2026-03-26,Active,Organic,
18096,John Taylor,56 Main Rd,Ryde,PO33 7SZ,2026-03-07,Active,Google Search,
18097,Patricia Smith,59 Tithe Barn,Newport,PO30 1BH,2024-07-13,Churned,Organic,2025-03-31
18098,Elizabeth Johnson,87 Broadway,Newport,PO30 3ZR,2026-03-26,Active,Google Search,
18099,Patricia Wright,131 Victoria Ave,Ryde,PO33 6KP,2025-12-22,Active,Door-to-Door,
18100,Linda Wright,35 Victoria Ave,Totland Bay,PO39 3LD,2024-08-19,Active,Organic,
18101,Robert Jones,58 London Rd,Newport,PO30 5YC,2025-09-17,Active,Organic,
18102,Jennifer Wilson,32 York St,Newport,PO30 6WW,2024-04-13,Active,Billboards,
18103,Michael Taylor,35 Station Rd,Ventnor,PO38 6QF,2026-02-07,Active,Organic,
18104,John Williams,10 Station Rd,Sandown,PO36 8RR,2025-10-23,Active,Leaflets,
18105,William Jones,63 Park Rd,Ventnor,PO38 4QG,2023-09-28,Churned,Google Search,2024-07-14
18106,Michael Williams,133 Arctic Rd,Ryde,PO33 2JJ,2024-04-03,Churned,Organic,2024-12-26
18107,Elizabeth Robinson,115 Arctic Rd,Newport,PO30 5OD,2025-12-28,Active,Organic,
18108,Elizabeth Smith,103 Park Rd,Cowes,PO31 5QO,2023-07-15,Active,Organic,
18109,Robert Brown,36 Main Rd,Ryde,PO33 9RA,2025-01-29,Active,Leaflets,
18110,Linda Wright,20 Main Rd,Sandown,PO36 8SK,2025-06-24,Active,Door-to-Door,
18111,James Taylor,95 Church Rd,Ryde,PO33 6IK,2024-02-13,Active,Sponsorship,
18112,Mary Taylor,88 Tithe Barn,Newport,PO30 7FV,2024-11-14,Active,Organic,
18113,James Williams,131 Station Rd,Ventnor,PO38 1VQ,2024-08-06,Active,Organic,
18114,John Davies,137 Tithe Barn,Shanklin,PO37 8UH,2025-09-04,Active,Leaflets,
18115,Mary Robinson,10 Park Rd,Newport,PO30 7JU,2024-09-21,Active,Organic,
18116,William Williams,127 Arctic Rd,Ryde,PO33 1JX,2024-01-16,Active,Organic,
18117,Jennifer Wright,51 High St,Newport,PO30 2PH,2025-08-05,Active,Organic,
18118,James Davies,128 Station Rd,Cowes,PO31 6QH,2024-11-26,Active,Organic,
18119,Elizabeth Brown,98 London Rd,Bembridge,PO35 8DU,2025-09-30,Active,Google Search,
18120,Robert Robinson,39 Victoria Ave,Shanklin,PO37 9DX,2025-12-28,Active,Organic,
18121,Linda Wilson,47 Broadway,Seaview,PO34 6ZQ,2023-09-07,Active,Organic,
18122,Robert Johnson,89 Main Rd,Cowes,PO31 6UH,2023-03-19,Active,Organic,
18123,William Smith,35 Queens Rd,Seaview,PO34 5GC,2024-06-14,Active,Instagram Influencer,
18124,Patricia Williams,59 High St,Sandown,PO36 7CC,2023-05-10,Active,Organic,
18125,James Taylor,85 Arctic Rd,Shanklin,PO37 9US,2023-10-18,Active,Leaflets,
18126,John Wilson,98 Station Rd,East Cowes,PO32 1IU,2023-06-23,Active,Local Fair,
18127,Robert Williams,28 Church Rd,Bembridge,PO35 7PJ,2023-06-11,Active,Sponsorship,
18128,Robert Jones,134 Queens Rd,Shanklin,PO37 5ED,2024-04-20,Active,Facebook Ads,
18129,Robert Johnson,68 Tithe Barn,East Cowes,PO32 2UO,2024-07-16,Active,Organic,
18130,Linda Johnson,38 High St,Ryde,PO33 1MZ,2023-12-30,Churned,Organic,2024-09-28
18131,Robert Robinson,133 Queens Rd,Bembridge,PO35 9DP,2024-01-30,Active,Organic,
18132,Linda Wilson,1 London Rd,East Cowes,PO32 3TD,2024-02-10,Active,Organic,
18133,John Johnson,76 London Rd,East Cowes,PO32 8TP,2023-01-20,Active,Sponsorship,
18134,Elizabeth Wright,65 Mill Hill Rd,Ryde,PO33 9XA,2024-01-03,Active,Organic,
18135,James Smith,118 Mill Hill Rd,Cowes,PO31 7KR,2025-08-16,Active,Organic,
18136,John Brown,43 Station Rd,Sandown,PO36 7XB,2025-10-19,Active,Leaflets,
18137,John Brown,125 Mill Hill Rd,Cowes,PO31 5JC,2024-12-14,Active,Local Fair,
18138,Elizabeth Wilson,109 Main Rd,Bembridge,PO35 5SR,2024-12-17,Active,Local Fair,
18139,Patricia Wright,106 Church Rd,Shanklin,PO37 1LR,2024-11-18,Active,Organic,
18140,Jennifer Smith,30 Victoria Ave,Bembridge,PO35 6FD,2026-04-13,Active,Organic,
18141,Elizabeth Johnson,110 Church Rd,Newport,PO30 7VT,2023-06-30,Active,Google Search,
18142,Jennifer Taylor,32 Arctic Rd,Sandown,PO36 6WH,2023-03-24,Active,Sponsorship,
18143,James Smith,102 Church Rd,Yarmouth,PO41 8PI,2024-07-21,Active,Organic,
18144,John Johnson,120 Mill Hill Rd,Ryde,PO33 5AY,2024-12-22,Active,Organic,
18145,Mary Wright,24 Main Rd,Sandown,PO36 2OF,2026-02-12,Active,Organic,
18146,Mary Taylor,40 London Rd,Newport,PO30 3NB,2025-12-28,Active,Door-to-Door,
18147,James Johnson,73 Church Rd,Ryde,PO33 3YL,2025-09-24,Active,Organic,
18148,Patricia Brown,36 York St,Seaview,PO34 5GC,2023-12-18,Active,Organic,
18149,Robert Taylor,5 Broadway,Freshwater,PO40 4UH,2025-11-09,Active,Organic,
18150,Jennifer Davies,143 Church Rd,Sandown,PO36 7BW,2024-12-21,Active,Organic,
18151,Jennifer Robinson,31 Church Rd,Sandown,PO36 1LK,2024-03-06,Active,Local Fair,
18152,Elizabeth Smith,18 Queens Rd,Newport,PO30 7GL,2023-12-12,Active,Organic,
18153,Elizabeth Williams,34 Station Rd,Bembridge,PO35 1GH,2025-10-27,Active,Organic,
18154,Linda Smith,124 Broadway,Shanklin,PO37 7UA,2023-03-24,Active,Radio Ad,
18155,Mary Jones,120 Park Rd,East Cowes,PO32 8QF,2023-01-08,Active,Organic,
18156,Linda Taylor,30 Arctic Rd,Ventnor,PO38 4ZA,2024-01-18,Active,Organic,
18157,Patricia Williams,31 Mill Hill Rd,Cowes,PO31 8MB,2025-03-30,Active,Facebook Ads,
18158,Robert Wilson,56 Arctic Rd,Newport,PO30 5HX,2023-02-10,Active,Organic,
18159,Elizabeth Jones,137 London Rd,Bembridge,PO35 8TB,2025-08-29,Active,Organic,
18160,Michael Wilson,75 Church Rd,Shanklin,PO37 7EK,2025-12-24,Active,Door-to-Door,
18161,Linda Wilson,43 Church Rd,Bembridge,PO35 5QA,2025-10-23,Active,Leaflets,
18162,James Smith,17 Queens Rd,Ryde,PO33 8OJ,2024-11-11,Active,Organic,
18163,Michael Wilson,148 Tithe Barn,Sandown,PO36 3ES,2024-08-13,Active,Organic,
18164,Mary Brown,122 Station Rd,Cowes,PO31 4KH,2023-04-13,Active,Leaflets,
18165,Patricia Johnson,39 Arctic Rd,Newport,PO30 9UR,2024-10-12,Active,Organic,
18166,Elizabeth Williams,99 Main Rd,Ryde,PO33 9DX,2025-04-04,Active,Door-to-Door,
18167,John Robinson,12 Station Rd,East Cowes,PO32 1TH,2023-02-07,Active,Google Search,
18168,William Jones,74 Broadway,Newport,PO30 9UR,2025-03-08,Active,Billboards,
18169,Elizabeth Smith,32 Station Rd,Freshwater,PO40 5CY,2025-10-03,Active,Organic,
18170,Linda Davies,32 Main Rd,Sandown,PO36 7CC,2024-05-14,Active,Organic,
18171,Jennifer Davies,107 Mill Hill Rd,East Cowes,PO32 6OH,2025-01-18,Active,Organic,
18172,James Davies,24 Park Rd,Newport,PO30 2DM,2025-09-07,Active,Leaflets,
18173,James Wright,78 Queens Rd,Cowes,PO31 1SY,2024-04-23,Active,Organic,
18174,John Johnson,22 London Rd,Ryde,PO33 1VF,2025-07-26,Active,Organic,
18175,Jennifer Jones,140 Church Rd,Newport,PO30 4RS,2025-04-18,Active,Sponsorship,
18176,William Wilson,38 Broadway,Ryde,PO33 4OG,2024-10-01,Active,Organic,
18177,Linda Davies,106 Tithe Barn,Cowes,PO31 9FC,2024-01-24,Active,Radio Ad,
18178,John Jones,59 London Rd,Ryde,PO33 1MZ,2025-09-29,Active,Organic,
18179,Jennifer Davies,96 Tithe Barn,Ryde,PO33 5QU,2024-01-17,Active,Organic,
18180,Robert Williams,24 Park Rd,East Cowes,PO32 2XX,2023-09-07,Active,Organic,
18181,John Wright,129 London Rd,Ventnor,PO38 6GL,2025-08-14,Active,Organic,
18182,William Wilson,51 Arctic Rd,Newport,PO30 3IH,2024-07-19,Active,Leaflets,
18183,Elizabeth Wilson,74 Park Rd,Cowes,PO31 9LO,2024-03-02,Active,Local Fair,
18184,Mary Wright,145 High St,Newport,PO30 4RS,2023-06-07,Active,Door-to-Door,
18185,Michael Wright,56 Park Rd,Cowes,PO31 2GF,2023-10-16,Active,Organic,
18186,Patricia Taylor,40 Broadway,Totland Bay,PO39 1VL,2023-06-27,Active,Organic,
18187,Mary Williams,3 Main Rd,Bembridge,PO35 5GB,2024-04-04,Active,Organic,
18188,John Wilson,100 Station Rd,Seaview,PO34 8YY,2025-10-30,Active,Google Search,
18189,James Jones,110 Church Rd,Ryde,PO33 9RA,2025-11-28,Active,Radio Ad,
18190,Robert Williams,53 Arctic Rd,Cowes,PO31 9MS,2025-08-17,Active,Organic,
18191,Patricia Wilson,149 Victoria Ave,Ryde,PO33 6LT,2023-08-21,Churned,Organic,2024-01-01
18192,Patricia Williams,37 High St,Shanklin,PO37 4NP,2025-08-02,Active,Organic,
18193,John Brown,118 London Rd,Newport,PO30 4UP,2025-09-07,Active,Organic,
18194,James Wright,49 Arctic Rd,Freshwater,PO40 3ZK,2025-10-23,Active,Leaflets,
18195,Robert Brown,112 Victoria Ave,Ryde,PO33 1VF,2025-07-30,Active,Organic,
18196,James Williams,35 Church Rd,Freshwater,PO40 9DC,2025-07-29,Active,Radio Ad,
18197,James Smith,127 Arctic Rd,East Cowes,PO32 4RU,2024-06-07,Active,Organic,
18198,William Wright,75 Arctic Rd,East Cowes,PO32 5GH,2025-06-29,Active,Door-to-Door,
18199,William Johnson,7 Queens Rd,Ventnor,PO38 9BP,2025-10-20,Active,Organic,
18200,Mary Williams,87 Broadway,Bembridge,PO35 7NJ,2026-03-24,Active,Local Fair,
18201,Patricia Jones,141 London Rd,Sandown,PO36 7FI,2023-06-20,Churned,Organic,2024-02-27
18202,William Wilson,26 High St,Ventnor,PO38 5TS,2024-01-25,Active,Sponsorship,
18203,Patricia Johnson,65 Queens Rd,Newport,PO30 7FZ,2025-08-10,Active,Organic,
18204,Linda Williams,119 Queens Rd,Cowes,PO31 9DX,2023-05-16,Active,Radio Ad,
18205,Michael Brown,3 Station Rd,Cowes,PO31 2ED,2024-03-16,Active,Local Fair,
18206,Robert Smith,20 Tithe Barn,Shanklin,PO37 6ZM,2025-10-17,Active,Leaflets,
18207,Michael Wright,149 Park Rd,Ryde,PO33 1MZ,2026-01-16,Active,Organic,
18208,Patricia Johnson,142 Park Rd,Sandown,PO36 8YF,2025-07-20,Active,Organic,
18209,Robert Brown,29 Park Rd,Shanklin,PO37 9DX,2025-12-04,Active,Google Search,
18210,Linda Williams,116 York St,Newport,PO30 5MW,2026-03-23,Active,Local Fair,
18211,Mary Jones,41 Arctic Rd,East Cowes,PO32 5FB,2024-01-13,Active,Organic,
18212,Michael Jones,77 Queens Rd,Cowes,PO31 2RF,2024-06-16,Active,Organic,
18213,William Davies,3 Tithe Barn,Shanklin,PO37 5JK,2023-01-13,Active,Organic,
18214,Linda Brown,133 Arctic Rd,Seaview,PO34 2VX,2026-03-07,Active,Organic,
18215,Linda Wright,119 Arctic Rd,Shanklin,PO37 5NE,2025-04-06,Active,Facebook Ads,
18216,Robert Williams,124 High St,Seaview,PO34 5VU,2026-01-29,Active,Organic,
18217,Patricia Jones,53 Station Rd,Ryde,PO33 6EZ,2023-12-15,Active,Organic,
18218,Robert Robinson,10 Mill Hill Rd,Sandown,PO36 4WT,2024-12-12,Active,Local Fair,
18219,Michael Wright,33 Tithe Barn,Seaview,PO34 6XE,2025-10-14,Active,Organic,
18220,James Williams,135 High St,Sandown,PO36 7ZS,2023-11-17,Churned,Organic,2024-10-02
18221,John Jones,2 Tithe Barn,Newport,PO30 9MB,2023-06-02,Churned,Leaflets,2023-09-21
18222,Mary Johnson,29 Arctic Rd,Ryde,PO33 2AM,2025-02-06,Active,Organic,
18223,Linda Jones,21 Mill Hill Rd,Ryde,PO33 1BY,2025-08-11,Active,Organic,
18224,Mary Robinson,113 Tithe Barn,Cowes,PO31 2NZ,2023-02-15,Active,Organic,
18225,William Davies,58 Broadway,Newport,PO30 7SL,2023-10-04,Active,Google Search,
18226,Michael Johnson,77 London Rd,Newport,PO30 5NW,2024-03-19,Active,Organic,
18227,Linda Williams,108 Station Rd,Sandown,PO36 3EU,2026-03-24,Active,Local Fair,
18228,Michael Williams,63 Queens Rd,Seaview,PO34 4RK,2023-05-08,Active,Organic,
18229,Robert Smith,115 Queens Rd,Sandown,PO36 3NW,2024-10-07,Active,Organic,
18230,William Brown,99 Queens Rd,Newport,PO30 7BI,2025-07-31,Active,Organic,
18231,John Brown,7 Park Rd,Ryde,PO33 1KB,2024-02-17,Active,Organic,
18232,Linda Robinson,107 Tithe Barn,Ventnor,PO38 4AC,2026-01-29,Active,Organic,
18233,Michael Taylor,134 Mill Hill Rd,Newport,PO30 3IH,2025-08-30,Active,Door-to-Door,
18234,Michael Wilson,142 Park Rd,Sandown,PO36 8TF,2024-05-06,Churned,Organic,2025-11-19
18235,James Williams,28 High St,Shanklin,PO37 2LI,2024-03-07,Active,Local Fair,
18236,Michael Smith,27 Station Rd,Shanklin,PO37 8IJ,2023-09-26,Active,Organic,
18237,Mary Taylor,61 Broadway,East Cowes,PO32 6NH,2023-09-18,Active,Organic,
18238,Jennifer Wright,143 High St,Seaview,PO34 1CM,2023-03-24,Active,Sponsorship,
18239,William Taylor,75 Queens Rd,Newport,PO30 7WO,2023-07-14,Active,Organic,
18240,Patricia Jones,58 Station Rd,Cowes,PO31 9ZG,2026-04-19,Active,Organic,
18241,Jennifer Wright,49 Arctic Rd,Newport,PO30 8IK,2024-02-25,Active,Organic,
18242,Elizabeth Williams,36 Victoria Ave,Cowes,PO31 8DD,2024-04-12,Active,Billboards,
18243,Linda Taylor,147 Church Rd,Sandown,PO36 9MJ,2023-06-24,Active,Organic,
18244,Patricia Williams,26 Church Rd,Bembridge,PO35 6TY,2024-05-14,Active,Organic,
18245,Michael Smith,139 High St,East Cowes,PO32 1UJ,2025-02-11,Active,Organic,
18246,Linda Smith,3 London Rd,Ryde,PO33 2VH,2023-09-26,Active,Organic,
18247,Jennifer Williams,76 Mill Hill Rd,Ryde,PO33 2OE,2024-09-06,Active,Local Fair,
18248,Elizabeth Jones,26 York St,Ryde,PO33 7NK,2025-08-01,Active,Organic,
18249,Patricia Jones,142 Arctic Rd,Ryde,PO33 2TH,2023-06-28,Churned,Organic,2024-06-03
18250,Jennifer Taylor,60 Tithe Barn,Ryde,PO33 7KT,2025-06-21,Active,Door-to-Door,
18251,Mary Johnson,52 Queens Rd,Newport,PO30 8VY,2023-09-15,Active,Organic,
18252,William Johnson,117 Mill Hill Rd,Ryde,PO33 5QP,2023-07-11,Active,Organic,
18253,John Smith,45 London Rd,Freshwater,PO40 8IU,2025-05-10,Active,Organic,
18254,Elizabeth Wilson,124 Broadway,Shanklin,PO37 9XL,2024-01-16,Active,Organic,
18255,Michael Williams,53 Broadway,Sandown,PO36 2KH,2025-12-30,Active,Organic,
18256,Jennifer Smith,42 Park Rd,Totland Bay,PO39 6RH,2024-12-18,Active,Organic,
18257,Jennifer Jones,35 Station Rd,Newport,PO30 2ZN,2026-03-04,Active,Organic,
18258,Elizabeth Brown,141 London Rd,Ryde,PO33 4GK,2025-05-17,Active,Organic,
18259,John Williams,14 Victoria Ave,East Cowes,PO32 7OM,2024-05-21,Active,Organic,
18260,Linda Wright,93 High St,Sandown,PO36 9IW,2026-03-03,Active,Organic,
18261,Michael Wilson,36 Victoria Ave,Shanklin,PO37 5CF,2023-01-08,Active,Organic,
18262,William Davies,12 Broadway,Ryde,PO33 8MF,2026-04-07,Active,Organic,
18263,Elizabeth Davies,80 Victoria Ave,Newport,PO30 5LI,2023-06-30,Churned,Google Search,2024-11-19
18264,Elizabeth Wilson,85 Queens Rd,East Cowes,PO32 3ET,2025-07-04,Active,Organic,
18265,Robert Brown,91 Tithe Barn,Ryde,PO33 7TT,2024-02-08,Active,Organic,
18266,Elizabeth Brown,131 Victoria Ave,Newport,PO30 8LK,2023-12-11,Active,Organic,
18267,John Brown,28 Queens Rd,Shanklin,PO37 5JJ,2025-10-08,Active,Radio Ad,
18268,Patricia Brown,24 Tithe Barn,Newport,PO30 8OU,2025-03-11,Active,Organic,
18269,Michael Jones,18 Station Rd,Cowes,PO31 4WB,2025-11-27,Active,Sponsorship,
18270,Linda Robinson,77 Queens Rd,East Cowes,PO32 1SF,2024-08-01,Active,Organic,
18271,Linda Wright,138 Park Rd,Yarmouth,PO41 4PC,2026-03-21,Active,Organic,
18272,John Robinson,105 Mill Hill Rd,East Cowes,PO32 5GH,2023-08-15,Churned,Door-to-Door,2025-01-28
18273,Elizabeth Davies,59 York St,Cowes,PO31 6JA,2024-01-19,Active,Organic,
18274,James Taylor,71 Station Rd,Totland Bay,PO39 1FG,2024-05-28,Active,Instagram Influencer,
18275,Linda Brown,1 Church Rd,Yarmouth,PO41 1KO,2023-10-13,Active,Radio Ad,
18276,James Williams,25 London Rd,Bembridge,PO35 5KB,2023-04-11,Churned,Leaflets,2024-11-14
18277,Mary Davies,66 Arctic Rd,Shanklin,PO37 1EN,2023-05-28,Active,Organic,
18278,John Robinson,57 Victoria Ave,East Cowes,PO32 4BB,2024-11-14,Active,Google Search,
18279,Elizabeth Taylor,44 Main Rd,Shanklin,PO37 8GO,2023-05-03,Churned,Organic,2024-10-26
18280,Mary Wilson,50 York St,Cowes,PO31 3KY,2025-09-23,Active,Google Search,
18281,Michael Robinson,12 Tithe Barn,Shanklin,PO37 2YJ,2023-02-26,Active,Organic,
18282,Mary Davies,76 High St,Shanklin,PO37 9XL,2026-03-23,Active,Local Fair,
18283,Mary Robinson,3 Victoria Ave,Newport,PO30 3VI,2024-07-14,Active,Organic,
18284,John Wright,31 Tithe Barn,Ryde,PO33 4LR,2023-10-10,Active,Radio Ad,
18285,John Wright,61 Tithe Barn,Ryde,PO33 1ZT,2024-11-28,Active,Facebook Ads,
18286,Jennifer Williams,3 Victoria Ave,Ryde,PO33 8FH,2024-05-01,Active,Facebook Ads,
18287,Michael Davies,113 Main Rd,Sandown,PO36 5DS,2026-04-17,Active,Organic,
18288,Patricia Jones,120 High St,Cowes,PO31 9LO,2024-07-16,Active,Organic,
18289,James Wilson,4 High St,Newport,PO30 5WL,2023-09-07,Active,Organic,
18290,William Wright,19 Victoria Ave,Cowes,PO31 9HD,2024-04-03,Active,Organic,
18291,Michael Robinson,83 Arctic Rd,Bembridge,PO35 8YS,2025-05-24,Active,Organic,
18292,Linda Jones,65 Queens Rd,Sandown,PO36 7LG,2024-11-15,Active,Instagram Influencer,
18293,Elizabeth Robinson,27 Broadway,Ryde,PO33 5NV,2025-06-29,Active,Door-to-Door,
18294,Patricia Wilson,108 Station Rd,Ryde,PO33 3KY,2023-09-11,Active,Instagram Influencer,
18295,Jennifer Williams,53 York St,Sandown,PO36 2AQ,2024-09-05,Active,Organic,
18296,Patricia Davies,44 Queens Rd,Cowes,PO31 2QN,2023-10-18,Active,Organic,
18297,Jennifer Wilson,118 Tithe Barn,Newport,PO30 9MU,2026-03-14,Active,Organic,
18298,Mary Wright,4 Park Rd,Shanklin,PO37 6QK,2024-10-22,Active,Google Search,
18299,William Smith,13 Church Rd,Seaview,PO34 5QJ,2023-11-10,Active,Sponsorship,
18300,John Smith,59 York St,Newport,PO30 2YG,2025-10-28,Active,Organic,
18301,Linda Smith,96 Queens Rd,Ryde,PO33 1MZ,2024-11-29,Active,Facebook Ads,
18302,Linda Wilson,107 Queens Rd,Sandown,PO36 7WF,2023-01-18,Active,Organic,
18303,Mary Brown,16 Park Rd,East Cowes,PO32 6DN,2023-08-10,Churned,Door-to-Door,2025-01-11
18304,Mary Davies,128 Mill Hill Rd,Yarmouth,PO41 5ND,2025-01-13,Active,Billboards,
18305,Jennifer Williams,120 Tithe Barn,Newport,PO30 2GQ,2024-03-07,Active,Local Fair,
18306,Robert Johnson,136 High St,Bembridge,PO35 1GH,2024-03-01,Active,Local Fair,
18307,Michael Williams,133 Main Rd,Newport,PO30 1VT,2025-02-03,Active,Organic,
18308,Patricia Brown,113 Station Rd,Sandown,PO36 7QD,2023-06-22,Churned,Local Fair,2024-03-28
18309,Michael Williams,96 Park Rd,Newport,PO30 6LD,2025-03-23,Active,Facebook Ads,
18310,Michael Brown,20 Park Rd,Ryde,PO33 6RQ,2023-05-10,Active,Organic,
18311,John Johnson,14 London Rd,Shanklin,PO37 5WV,2024-05-08,Active,Organic,
18312,Michael Johnson,8 High St,Newport,PO30 5MW,2025-07-30,Active,Organic,
18313,John Smith,54 Tithe Barn,Newport,PO30 9NV,2023-07-10,Churned,Organic,2024-04-03
18314,Mary Taylor,98 Park Rd,Shanklin,PO37 6HM,2025-03-02,Active,Organic,
18315,Linda Davies,37 Mill Hill Rd,Cowes,PO31 9DC,2025-01-08,Churned,Organic,2025-04-12
18316,William Wright,55 Church Rd,Bembridge,PO35 5PO,2023-12-09,Active,Instagram Influencer,
18317,Patricia Wright,115 High St,Sandown,PO36 6FH,2024-02-03,Active,Organic,
18318,Patricia Davies,125 Broadway,Newport,PO30 3YS,2026-04-04,Active,Organic,
18319,Linda Brown,97 Tithe Barn,Ryde,PO33 9PB,2026-01-02,Active,Organic,
18320,Michael Taylor,23 Broadway,Shanklin,PO37 1ND,2023-08-18,Active,Door-to-Door,
18321,Elizabeth Jones,47 Victoria Ave,Cowes,PO31 9MS,2026-02-16,Active,Door-to-Door,
18322,Mary Davies,35 Church Rd,Sandown,PO36 1OU,2023-08-30,Churned,Organic,2024-12-09
18323,Elizabeth Taylor,149 Broadway,Newport,PO30 4WU,2024-03-04,Active,Local Fair,
18324,Robert Wright,81 Tithe Barn,Newport,PO30 1CV,2023-12-08,Active,Organic,
18325,Michael Smith,141 Queens Rd,East Cowes,PO32 5ZY,2023-09-23,Active,Google Search,
18326,Patricia Davies,19 Arctic Rd,Newport,PO30 6BW,2023-09-08,Active,Door-to-Door,
18327,James Smith,118 Victoria Ave,Shanklin,PO37 5PF,2025-05-04,Active,Organic,
18328,Mary Wright,103 Arctic Rd,Newport,PO30 9RC,2023-06-04,Active,Door-to-Door,
18329,Linda Brown,46 York St,Newport,PO30 7OB,2025-02-11,Active,Leaflets,
18330,Patricia Wright,145 Arctic Rd,Cowes,PO31 3TH,2025-12-28,Active,Organic,
18331,Linda Taylor,68 Station Rd,Totland Bay,PO39 1DF,2025-12-08,Active,Google Search,
18332,Linda Brown,35 High St,Newport,PO30 4YN,2024-06-03,Active,Instagram Influencer,
18333,Jennifer Williams,23 Church Rd,Newport,PO30 9RM,2023-11-07,Active,Sponsorship,
18334,John Taylor,56 Queens Rd,Ryde,PO33 7SI,2024-04-24,Active,Organic,
18335,Michael Taylor,103 Main Rd,Seaview,PO34 3ZZ,2025-09-14,Active,Google Search,
18336,James Williams,99 Victoria Ave,Freshwater,PO40 9QU,2025-07-22,Active,Instagram Influencer,
18337,James Brown,60 Church Rd,Cowes,PO31 3BL,2025-06-09,Active,Sponsorship,
18338,Patricia Smith,38 Station Rd,Newport,PO30 2AX,2024-08-27,Active,Organic,
18339,Jennifer Wright,15 Victoria Ave,Ryde,PO33 9WD,2025-04-16,Active,Organic,
18340,Robert Smith,43 Victoria Ave,Newport,PO30 8OU,2023-10-20,Active,Leaflets,
18341,Linda Taylor,80 Queens Rd,Cowes,PO31 4WB,2024-03-21,Churned,Organic,2025-03-08
18342,Patricia Williams,85 London Rd,Ryde,PO33 5AV,2024-02-19,Active,Sponsorship,
18343,Michael Brown,137 Church Rd,Newport,PO30 5LE,2026-02-21,Active,Facebook Ads,
18344,Michael Robinson,40 Arctic Rd,East Cowes,PO32 1MO,2025-10-14,Active,Radio Ad,
18345,Jennifer Robinson,86 High St,Newport,PO30 3IH,2023-11-29,Active,Instagram Influencer,
18346,Jennifer Jones,129 London Rd,Totland Bay,PO39 9NS,2025-08-31,Active,Organic,
18347,Robert Brown,38 London Rd,Ryde,PO33 5HP,2026-01-19,Active,Organic,
18348,Jennifer Smith,70 Park Rd,East Cowes,PO32 7OM,2024-11-23,Churned,Organic,2026-02-08
18349,William Smith,144 York St,Sandown,PO36 7ZS,2023-06-16,Active,Organic,
18350,John Wright,3 High St,Cowes,PO31 3GY,2023-06-07,Active,Organic,
18351,Patricia Taylor,28 Queens Rd,Sandown,PO36 2TF,2024-05-17,Active,Organic,
18352,William Taylor,38 York St,Newport,PO30 7NJ,2024-10-20,Active,Organic,
18353,Robert Taylor,105 High St,Newport,PO30 5LI,2025-11-14,Active,Google Search,
18354,Mary Taylor,87 Tithe Barn,Sandown,PO36 6CA,2025-11-08,Active,Organic,
18355,William Smith,117 London Rd,Sandown,PO36 4BK,2026-02-20,Active,Organic,
